CRYAB	DoG
DNM2	DoG
FHL1	DoG
FLNC	DoG
GNE	DoG
LDB3	DoG
MATR3	DoG
MYH7	DoG
NEB	DoG
PNPLA2	DoG
VCP	DoG
BVES	PoG
CAPN3	PoG
DAG1	PoG
FKRP	PoG
FKTN	PoG
GAA	PoG
GMPPB	PoG
HNRNPDL	PoG
LMNA	PoG
PLEC	PoG
POMGNT1	PoG
POMT1	PoG
POMT2	PoG
SGCA	PoG
SGCB	PoG
SGCD	PoG
SGCG	PoG
TCAP	PoG
TNPO3	PoG
TOR1AIP1	PoG
TRAPPC11	PoG
TRIM32	PoG
ANO5	CoG
CAV3	CoG
DES	CoG
DNAJB6	CoG
DYSF	CoG
MYOT	CoG
TTN	CoG
